name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,Country
Aachen,1,Valid,L5,21.0,Fell,01/01/1880 12:00:00 AM,50.775,6.08333,"50.775, 6.08333",Deutschland
Aarhus,2,Valid,H6,720.0,Fell,01/01/1951 12:00:00 AM,56.183330000000005,10.23333,"56.18333, 10.23333",Danmark
Abee,6,Valid,EH4,107000.0,Fell,01/01/1952 12:00:00 AM,54.21666999999999,-113.0,"54.21667, -113.0",Canada
Acapulco,10,Valid,Acapulcoite,1914.0,Fell,01/01/1976 12:00:00 AM,16.883329999999997,-99.9,"16.88333, -99.9",México
Achiras,370,Valid,L6,780.0,Fell,01/01/1902 12:00:00 AM,-33.16667,-64.95,"-33.16667, -64.95",Argentina
Adhi Kot,379,Valid,EH4,4239.0,Fell,01/01/1919 12:00:00 AM,32.1,71.8,"32.1, 71.8",پاکستان
Adzhi-Bogdo (stone),390,Valid,LL3-6,910.0,Fell,01/01/1949 12:00:00 AM,44.83333,95.16667,"44.83333, 95.16667",Монгол Улс
Agen,392,Valid,H5,30000.0,Fell,01/01/1814 12:00:00 AM,44.21667,0.6166699999999999,"44.21667, 0.61667",France
Aguada,398,Valid,L6,1620.0,Fell,01/01/1930 12:00:00 AM,-31.6,-65.23333000000001,"-31.6, -65.23333",Argentina
Aguila Blanca,417,Valid,L,1440.0,Fell,01/01/1920 12:00:00 AM,-30.866670000000003,-64.55,"-30.86667, -64.55",Argentina
Aioun el Atrouss,423,Valid,Diogenite-pm,1000.0,Fell,01/01/1974 12:00:00 AM,16.39806,-9.57028,"16.39806, -9.57028",موريتانيا
Aïr,424,Valid,L6,24000.0,Fell,01/01/1925 12:00:00 AM,19.08333,8.38333,"19.08333, 8.38333",Niger
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,01/01/1769 12:00:00 AM,50.66667,2.33333,"50.66667, 2.33333",France
Akaba,426,Valid,L6,779.0,Fell,01/01/1949 12:00:00 AM,29.51667,35.05,"29.51667, 35.05",Jordan / الأُرْدُن
Akbarpur,427,Valid,H4,1800.0,Fell,01/01/1838 12:00:00 AM,29.71667,77.95,"29.71667, 77.95",India
Akwanga,432,Valid,H,3000.0,Fell,01/01/1959 12:00:00 AM,8.91667,8.43333,"8.91667, 8.43333",Nigeria
Akyumak,433,Valid,"Iron, IVA",50000.0,Fell,01/01/1981 12:00:00 AM,39.91667,42.81667,"39.91667, 42.81667",Türkiye
Al Rais,446,Valid,CR2-an,160.0,Fell,01/01/1957 12:00:00 AM,24.41667,39.51667,"24.41667, 39.51667",Saudi Arabia / السعودية
Al Zarnkh,447,Valid,LL5,700.0,Fell,01/01/2001 12:00:00 AM,13.660329999999998,28.96,"13.66033, 28.96",السودان ‎al-Sūdān
Alais,448,Valid,CI1,6000.0,Fell,01/01/1806 12:00:00 AM,44.11667,4.08333,"44.11667, 4.08333",France
Albareto,453,Valid,L/LL4,2000.0,Fell,01/01/1766 12:00:00 AM,44.65,11.01667,"44.65, 11.01667",Italia
Alberta,454,Valid,L,625.0,Fell,01/01/1949 12:00:00 AM,2.0,22.66667,"2.0, 22.66667",République Démocratique du Congo
Alby sur Chéran,458,Valid,Eucrite-mmict,252.0,Fell,01/01/2002 12:00:00 AM,45.821329999999996,6.0153300000000005,"45.82133, 6.01533",France
Aldsworth,461,Valid,LL5,700.0,Fell,01/01/1835 12:00:00 AM,51.78333,-1.7833299999999999,"51.78333, -1.78333",United Kingdom
Aleppo,462,Valid,L6,3200.0,Fell,01/01/1873 12:00:00 AM,36.23333,37.13333,"36.23333, 37.13333",Sūriyya سوريا
Alessandria,463,Valid,H5,908.0,Fell,01/01/1860 12:00:00 AM,44.88333,8.75,"44.88333, 8.75",Italia
Alexandrovsky,465,Valid,H4,9251.0,Fell,01/01/1900 12:00:00 AM,50.95,31.816670000000002,"50.95, 31.81667",Україна
Alfianello,466,Valid,L6,228000.0,Fell,01/01/1883 12:00:00 AM,45.26667,10.15,"45.26667, 10.15",Italia
Allegan,2276,Valid,H5,32000.0,Fell,01/01/1899 12:00:00 AM,42.53333,-85.88333,"42.53333, -85.88333",United States of America
